Group,Category,Current State,Proposed Action,Designated Doc,Your Comments,Status
1 - Flatten,Getting Started → For Agents,Single child,Remove category wrapper — show doc directly under Getting Started,Agent-Quick-Start-Guide.md,ok,Done
1 - Flatten,Getting Started → For Developers & Integrators,Single child,Create new entry-point landing page + wire as category link,Developer-and-Integrator-Quick-Start.md,"There is an ""Integration Specialist Guide"" there but that doesn't cover all the aspects of a Developer. We should have one landing page for Developers and Integrators that they can use to navigate to relevant sections. So, let's make one such entry-point document.",Done — new file created
1 - Flatten,Reference → Glossary,Single child,Leave as is — may grow later,Glossary-of-Key-Terms.md,"There could be more items in this tree later on. So, leave it as it is.",Done — no change
2 - Designate child as category link,Getting Started → For Hosting Partners,No index.md,"Renamed menu to 'For Partners & Resellers'; moved RKE2 + Onboarding-a-New-Tenant to How-to Guides; updated quick-start with reseller section",Hosting-Partner-Quick-Start.md,"The menu option in the sidebar was created to jointly cover both personas: 1) Hosting partners, 2) Reseller Partners. 1. Give this menu option a name that's sounding relevant for both. 2. Move Onboarding-a-New-Tenant to the relevant How-to guide. 3. Move Deploying-the-RKE2-Control-Plane to where other deployment guides reside. 4. Keep only one landing page for both partners and resellers with placeholder text.",Done
2 - Designate child as category link,Getting Started → For Conversation Designers,No index.md,"Wired Conversation-Designer-Quick-Start as category link; moved Conversation-Studio-Configuration-Guide.md to Platform Overview",Conversation-Designer-Quick-Start.md,"Yes, do that. And, move ""Conversation Studio Fundamentals"" to Platform Overview.",Done
2 - Designate child as category link,Capabilities → Voice & Video,No index.md,Wire Voice-and-Video-Overview.md as category link,Voice-and-Video-Overview.md,okay good,Done
2 - Designate child as category link,Capabilities → Workforce Management,No index.md,Wire Workforce-Management-Overview.md as category link,Workforce-Management-Overview.md,ok,Done
2 - Designate child as category link,Capabilities → Reporting & Analytics,No index.md,Wire Reports-and-Analytics.md as category link,Reports-and-Analytics.md,ok,Done
2 - Designate child as category link,Reference → Schemas → CIM Message Schema,No index.md,Wire CIM-Messages.md as category link,CIM-Messages.md,ok,Done
3 - Keep index.md + add explicit link,Capabilities → Digital Channels,index.md — already explicit in sidebars.js,No change needed,index.md,ok,Done — no change
3 - Keep index.md + add explicit link,Capabilities → Digital Channels → WhatsApp,index.md — already explicit in sidebars.js,No change needed,index.md,ok,Done — no change
3 - Keep index.md + add explicit link,Capabilities → Security & Compliance,index.md exists,Wire index.md as category link,index.md,This page Security_and_Compliance exists as a child. Should we not use it and wire it as a category link?,Done — index.md wired
3 - Keep index.md + add explicit link,How-to Guides → Agent,index.md exists,Wire index.md as category link,index.md,Agent.md exists as a child. Should we not use it and wire it as a category link?,Done — index.md wired
3 - Keep index.md + add explicit link,How-to Guides → Administrator,index.md exists,Wire index.md as category link,index.md,Administrator.md exist as a child. Should we not use it and wire it as a category link?,Done — index.md wired
3 - Keep index.md + add explicit link,How-to Guides → Supervisor & QA Lead,index.md exists,Wire index.md as category link,index.md,Supervisor_and_QA_Lead.md exist as a child. Should we not use it and wire it as a category link?,Done — index.md wired
3 - Keep index.md + add explicit link,How-to Guides → Conversation Designer,index.md exists,Wire index.md as category link,index.md,Conversation_Designer.md exist as a child. Should we not use it and wire it as a category link?,Done — index.md wired
3 - Keep index.md + add explicit link,How-to Guides → Developer / Integrator,index.md exists,Wire index.md as category link,index.md,Developer_Integrator exists as a child. Should we not use it and wire it as a category link?,Done — index.md wired
3 - Keep index.md + add explicit link,How-to Guides → Hosting Partner,index.md exists,"Split confirmed: Hosting Partner + Reseller Partner as separate sections; Platform Operator merged into Hosting Partner",index.md,"Hosting Partner and Resellers should be two separate How-to guides. Platform Operator to be merged into Hosting Partner.",Done — split into Hosting Partner + Reseller Partner; Platform Operator merged into Hosting Partner
3 - Keep index.md + add explicit link,Reference → Schemas → Socket Events,index.md exists,Wire index.md as category link,index.md,Socket-Events-Index is there already. Should we not use it and wire it as a category link?,Done — index.md wired
4 - Leave as non-clickable,Getting Started → For Administrators,2 peer task docs — no overview,No change,—,,Done — no change
4 - Leave as non-clickable,Getting Started → For Supervisors & QA Leads,Already decided non-clickable,No change,—,,Done — no change
4 - Leave as non-clickable,How-to Guides → Platform Operator,Merged into Hosting Partner,Removed as separate section,—,,Done — removed; 3 files moved to Hosting Partner
4 - Leave as non-clickable,Capabilities (top-level),Pure container,No change,—,,Done — no change
4 - Leave as non-clickable,How-to Guides (top-level),Pure container,No change,—,,Done — no change
4 - Leave as non-clickable,Reference (top-level),Pure container,No change,—,,Done — no change
New,How-to Guides → Reseller Partner,New section,Created with 6 files moved from Hosting Partner + new index.md,index.md,,Done — new section created
